document,word,tfidf score
Amherst College.csv,100,0.0
Amherst College.csv,11,0.0
Amherst College.csv,14th,0.0
Amherst College.csv,1978,0.0
Amherst College.csv,1996,0.0
Amherst College.csv,20,0.0
Amherst College.csv,2022,0.0
Amherst College.csv,2023,0.0
Amherst College.csv,209,0.0
Amherst College.csv,237,0.0
Amherst College.csv,25,0.0
Amherst College.csv,29,0.0
Amherst College.csv,30,0.0
Amherst College.csv,32,0.0
Amherst College.csv,322,0.0
Amherst College.csv,40,0.0
Amherst College.csv,50,0.0
Amherst College.csv,615,0.0
Amherst College.csv,abide,0.0
Amherst College.csv,ability,0.0
Amherst College.csv,able,0.0
Amherst College.csv,absolutely,0.0
Amherst College.csv,academic,0.0
Amherst College.csv,academically,0.0
Amherst College.csv,access,0.0
Amherst College.csv,accessible,0.0
Amherst College.csv,accomplishments,0.0
Amherst College.csv,account,0.0
Amherst College.csv,achieve,0.0
Amherst College.csv,achieved,0.0
Amherst College.csv,achievements,0.0
Amherst College.csv,achieving,0.0
Amherst College.csv,acknowledge,0.0
Amherst College.csv,act,0.0
Amherst College.csv,action,0.0
Amherst College.csv,actions,0.0
Amherst College.csv,actively,0.0
Amherst College.csv,activities,0.0
Amherst College.csv,adapt,0.0
Amherst College.csv,addition,0.0
Amherst College.csv,additional,0.0
Amherst College.csv,address,0.0
Amherst College.csv,adjustments,0.0
Amherst College.csv,administrators,0.0
Amherst College.csv,admission,0.0
Amherst College.csv,admissions,0.05631549441410153
Amherst College.csv,admit,0.0
Amherst College.csv,admitted,0.0
Amherst College.csv,admitting,0.0
Amherst College.csv,adopted,0.0
Amherst College.csv,advance,0.0
Amherst College.csv,advancing,0.0
Amherst College.csv,affect,0.0
Amherst College.csv,affected,0.0
Amherst College.csv,affirm,0.0
Amherst College.csv,affirmative,0.0
Amherst College.csv,affordable,0.0
Amherst College.csv,african,0.0
Amherst College.csv,ago,0.0
Amherst College.csv,agree,0.0
Amherst College.csv,ahead,0.0
Amherst College.csv,aid,0.0
Amherst College.csv,al,0.0
Amherst College.csv,allow,0.0
Amherst College.csv,allowed,0.0
Amherst College.csv,allowing,0.0
Amherst College.csv,alter,0.0
Amherst College.csv,alumni,0.15041758664051885
Amherst College.csv,amendment,0.0
Amherst College.csv,america,0.0
Amherst College.csv,american,0.0
Amherst College.csv,americans,0.0
Amherst College.csv,amicus,0.0
Amherst College.csv,analyze,0.0
Amherst College.csv,analyzing,0.0
Amherst College.csv,announced,0.0
Amherst College.csv,answers,0.0
Amherst College.csv,anticipated,0.0
Amherst College.csv,anticipating,0.18871766427834294
Amherst College.csv,applicant,0.0
Amherst College.csv,applicants,0.0
Amherst College.csv,application,0.0
Amherst College.csv,applications,0.0
Amherst College.csv,apply,0.0
Amherst College.csv,appointment,0.0
Amherst College.csv,appreciate,0.0
Amherst College.csv,approach,0.0
Amherst College.csv,approaches,0.0
Amherst College.csv,area,0.0
Amherst College.csv,areas,0.0
Amherst College.csv,argued,0.0
Amherst College.csv,argument,0.0
Amherst College.csv,arguments,0.0
Amherst College.csv,array,0.0
Amherst College.csv,arts,0.0
Amherst College.csv,aspects,0.0
Amherst College.csv,assess,0.0
Amherst College.csv,assessing,0.0
Amherst College.csv,assessment,0.0
Amherst College.csv,association,0.0
Amherst College.csv,assumptions,0.0
Amherst College.csv,assure,0.0
Amherst College.csv,attend,0.0
Amherst College.csv,attention,0.0
Amherst College.csv,attract,0.0
Amherst College.csv,attracting,0.0
Amherst College.csv,august,0.0
Amherst College.csv,available,0.0
Amherst College.csv,away,0.0
Amherst College.csv,babson,0.0
Amherst College.csv,background,0.0
Amherst College.csv,backgrounds,0.07235035114121069
Amherst College.csv,bakke,0.0
Amherst College.csv,ban,0.0
Amherst College.csv,banned,0.0
Amherst College.csv,banning,0.0
Amherst College.csv,barnard,0.0
Amherst College.csv,barriers,0.0
Amherst College.csv,based,0.0
Amherst College.csv,basis,0.0
Amherst College.csv,bates,0.0
Amherst College.csv,bedrock,0.0
Amherst College.csv,begun,0.0
Amherst College.csv,belief,0.0
